Time: 2026-03-20 03:30:01.579650, Current moisture: 12.0, Raw moisture: 44.29666666666667
Time: 2026-03-20 03:45:01.852144, Current moisture: 12.0, Raw moisture: 57.156666666666666
Time: 2026-03-20 04:00:02.142018, Current moisture: 10.9, Raw moisture: 22.486666666666668
Time: 2026-03-20 04:15:01.517474, Current moisture: 12.0, Raw moisture: 52.54666666666667
Time: 2026-03-20 04:30:01.830353, Current moisture: 12.0, Raw moisture: 49.95666666666666
Time: 2026-03-20 04:45:02.102024, Current moisture: 12.0, Raw moisture: 52.806666666666665
Time: 2026-03-20 05:00:01.386578, Current moisture: 12.0, Raw moisture: 37.17333333333333
Time: 2026-03-20 05:15:01.743624, Current moisture: 12.0, Raw moisture: 54.82333333333333
Time: 2026-03-20 05:30:02.043450, Current moisture: 12.0, Raw moisture: 51.79333333333334
Time: 2026-03-20 05:45:01.314697, Current moisture: 12.0, Raw moisture: 45.70333333333333
Time: 2026-03-20 06:00:01.597610, Current moisture: 12.0, Raw moisture: 32.22666666666667
Time: 2026-03-20 06:15:01.959250, Current moisture: 12.0, Raw moisture: 50.28333333333333
Time: 2026-03-20 06:30:01.309302, Current moisture: 12.0, Raw moisture: 55.32333333333333
Time: 2026-03-20 06:45:01.582016, Current moisture: 12.0, Raw moisture: 50.74333333333333
Time: 2026-03-20 07:00:01.866947, Current moisture: 12.0, Raw moisture: 29.656666666666666
Time: 2026-03-20 07:15:01.170227, Current moisture: 12.0, Raw moisture: 45.86333333333334
Time: 2026-03-20 07:30:01.414452, Current moisture: 12.0, Raw moisture: 46.77
Time: 2026-03-20 07:45:01.634290, Current moisture: 12.0, Raw moisture: 49.49
Time: 2026-03-20 08:00:01.921886, Current moisture: 12.0, Raw moisture: 45.723333333333336
Time: 2026-03-20 08:15:01.283895, Current moisture: 12.0, Raw moisture: 49.87
Time: 2026-03-20 08:30:01.597392, Current moisture: 12.0, Raw moisture: 52.45
Time: 2026-03-20 08:45:01.875606, Current moisture: 12.0, Raw moisture: 45.276666666666664
Time: 2026-03-20 09:00:02.159023, Current moisture: 12.0, Raw moisture: 47.64333333333333
Time: 2026-03-20 09:15:01.526261, Current moisture: 12.0, Raw moisture: 54.18
Time: 2026-03-20 09:30:01.816962, Current moisture: 12.0, Raw moisture: 49.05
